,iterations,nb_prototypes,k_size,sigma,MZE,MAE
0,10.0,1.0,0.0,0.5,0.7059027777777779,1.543799603174603
1,20.0,1.0,0.0,0.5,0.7108382936507937,1.429985119047619
2,30.0,1.0,0.0,0.5,0.7562748015873015,1.6725198412698414
3,10.0,1.0,1.0,0.5,0.7562003968253969,1.578497023809524
4,20.0,1.0,1.0,0.5,0.7216021825396826,1.5553323412698412
5,30.0,1.0,1.0,0.5,0.7309523809523809,1.6843005952380952
6,10.0,1.0,2.0,0.5,0.7719494047619048,1.5734375000000003
7,20.0,1.0,2.0,0.5,0.7875992063492063,1.4801587301587302
8,30.0,1.0,2.0,0.5,0.8032986111111111,1.4936507936507937
9,10.0,2.0,0.0,0.5,0.7198660714285714,1.5571428571428572
10,20.0,2.0,0.0,0.5,0.7060019841269841,1.6154513888888888
11,30.0,2.0,0.0,0.5,0.7311011904761905,1.6714781746031746
12,10.0,2.0,1.0,0.5,0.7307539682539683,1.4339781746031748
13,20.0,2.0,1.0,0.5,0.7295882936507937,1.4832589285714284
14,30.0,2.0,1.0,0.5,0.7703125,1.50625
15,10.0,2.0,2.0,0.5,0.8064980158730158,1.5213293650793651
16,20.0,2.0,2.0,0.5,0.7844742063492063,1.5623511904761904
17,30.0,2.0,2.0,0.5,0.8113591269841269,1.5840029761904761
18,10.0,3.0,0.0,0.5,0.6854910714285715,1.4616319444444443
19,20.0,3.0,0.0,0.5,0.7170882936507936,1.4953124999999998
20,30.0,3.0,0.0,0.5,0.6619791666666666,1.3850694444444447
21,10.0,3.0,1.0,0.5,0.7593501984126985,1.4500992063492064
22,20.0,3.0,1.0,0.5,0.737202380952381,1.4794642857142857
23,30.0,3.0,1.0,0.5,0.717013888888889,1.3256448412698414
24,10.0,3.0,2.0,0.5,0.8080853174603174,1.4035218253968256
25,20.0,3.0,2.0,0.5,0.8226438492063494,1.4490079365079365
26,30.0,3.0,2.0,0.5,0.8272321428571429,1.5008680555555556
27,10.0,4.0,0.0,0.5,0.7010912698412699,1.4538690476190477
28,20.0,4.0,0.0,0.5,0.7012400793650795,1.540500992063492
29,30.0,4.0,0.0,0.5,0.6631696428571427,1.4473462301587299
30,10.0,4.0,1.0,0.5,0.7123263888888889,1.4041418650793651
31,20.0,4.0,1.0,0.5,0.7089533730158731,1.2819692460317458
32,30.0,4.0,1.0,0.5,0.7624255952380953,1.3972470238095238
33,10.0,4.0,2.0,0.5,0.7608630952380953,1.4589285714285716
34,20.0,4.0,2.0,0.5,0.8350446428571429,1.4170386904761905
35,30.0,4.0,2.0,0.5,0.8066716269841271,1.3738095238095238
36,10.0,5.0,0.0,0.5,0.7182539682539684,1.574652777777778
37,20.0,5.0,0.0,0.5,0.6305059523809524,1.2750248015873014
38,30.0,5.0,0.0,0.5,0.650719246031746,1.4119295634920634
39,10.0,5.0,1.0,0.5,0.7246775793650794,1.4203373015873015
40,20.0,5.0,1.0,0.5,0.7278521825396825,1.3641865079365079
41,30.0,5.0,1.0,0.5,0.7079117063492063,1.3142361111111112
42,10.0,5.0,2.0,0.5,0.746875,1.4538690476190477
43,20.0,5.0,2.0,0.5,0.8095238095238095,1.418204365079365
44,30.0,5.0,2.0,0.5,0.8143105158730158,1.4276785714285716
