,iterations,nb_prototypes,k_size,sigma,MZE,MAE
0,10.0,1.0,0.0,0.2,0.5688492063492064,1.2353918650793652
1,10.0,1.0,0.0,0.5,0.5867807539682539,1.274032738095238
2,10.0,1.0,0.0,1.0,0.6149553571428572,1.3532490079365078
3,10.0,1.0,1.0,0.2,0.7578869047619048,1.4203373015873018
4,10.0,1.0,1.0,0.5,0.7480406746031746,1.4020089285714286
5,10.0,1.0,1.0,1.0,0.7247271825396825,1.3280753968253969
6,10.0,1.0,2.0,0.2,0.7531994047619047,1.2882688492063494
7,10.0,1.0,2.0,0.5,0.7830109126984127,1.263095238095238
8,10.0,1.0,2.0,1.0,0.8145585317460318,1.391939484126984
9,10.0,2.0,0.0,0.2,0.6318700396825397,1.2464781746031746
10,10.0,2.0,0.0,0.5,0.5833085317460317,1.2465525793650793
11,10.0,2.0,0.0,1.0,0.5957093253968254,1.3441468253968254
12,10.0,2.0,1.0,0.2,0.7735367063492063,1.3959573412698414
13,10.0,2.0,1.0,0.5,0.7484375,1.4078373015873016
14,10.0,2.0,1.0,1.0,0.7644345238095238,1.4234126984126985
15,10.0,2.0,2.0,0.2,0.7863343253968254,1.3394593253968252
16,10.0,2.0,2.0,0.5,0.7627480158730159,1.2331597222222224
17,10.0,2.0,2.0,1.0,0.7406746031746032,1.1861111111111111
18,10.0,3.0,0.0,0.2,0.6148809523809524,1.3229910714285715
19,10.0,3.0,0.0,0.5,0.5991319444444445,1.3342261904761905
20,10.0,3.0,0.0,1.0,0.5925347222222223,1.175768849206349
21,10.0,3.0,1.0,0.2,0.7861359126984127,1.4432539682539682
22,10.0,3.0,1.0,0.5,0.7908978174603175,1.4261904761904762
23,10.0,3.0,1.0,1.0,0.7580109126984127,1.3665426587301588
24,10.0,3.0,2.0,0.2,0.7862103174603174,1.2561755952380953
25,10.0,3.0,2.0,0.5,0.7940476190476191,1.2921378968253967
26,10.0,3.0,2.0,1.0,0.7627728174603174,1.2648313492063492
27,10.0,4.0,0.0,0.2,0.6053819444444444,1.2091021825396826
28,10.0,4.0,0.0,0.5,0.644890873015873,1.4665674603174603
29,10.0,4.0,0.0,1.0,0.5661458333333333,1.1875744047619048
30,10.0,4.0,1.0,0.2,0.7496775793650794,1.2547867063492062
31,10.0,4.0,1.0,0.5,0.7266617063492063,1.2803075396825396
32,10.0,4.0,1.0,1.0,0.7467261904761905,1.332986111111111
33,10.0,4.0,2.0,0.2,0.8147073412698413,1.3311507936507936
34,10.0,4.0,2.0,0.5,0.7987847222222222,1.310342261904762
35,10.0,4.0,2.0,1.0,0.7817460317460317,1.2520833333333334
36,10.0,5.0,0.0,0.2,0.6039186507936508,1.179563492063492
37,10.0,5.0,0.0,0.5,0.5912450396825397,1.2304067460317458
38,10.0,5.0,0.0,1.0,0.6333829365079365,1.3577876984126982
39,10.0,5.0,1.0,0.2,0.7547619047619047,1.2488839285714284
40,10.0,5.0,1.0,0.5,0.7705357142857143,1.2991319444444442
41,10.0,5.0,1.0,1.0,0.7499751984126983,1.2515128968253966
42,10.0,5.0,2.0,0.2,0.765749007936508,1.2814980158730158
43,10.0,5.0,2.0,0.5,0.7909970238095239,1.2726686507936509
44,10.0,5.0,2.0,1.0,0.7234871031746032,1.2819940476190477
